Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,taxonomy_type,threshold,macro_f1,micro_f1,precision,recall,threshold
2023-11-30 12:35:36,3.2s,87322353e2504f9b831010112035eedf,zero_shot_threshold,NOTEBOOK,/Repos/vpeng@rockfound.org/who/zero_shot_scores,vpeng@rockfound.org,FINISHED,,,0.619233881349075,0.8240165631469979,0.8284692691523812,0.8844444444444445,
2023-11-14 11:43:11,1.6s,f6f1f6e93dff41cc86a2b17e932aff68,zero_shot_threshold,NOTEBOOK,/Repos/vpeng@rockfound.org/who/zero_shot_scores,vpeng@rockfound.org,FINISHED,,,0.19797719521762755,0.3578199052132701,0.5700243787354513,0.26916221033868093,
2023-11-14 11:42:55,13.6s,3b4e730a8dc644a988b642eda456a14d,zero_shot_threshold,NOTEBOOK,/Repos/vpeng@rockfound.org/who/zero_shot_scores,vpeng@rockfound.org,FINISHED,,,,,,,
2023-11-14 11:07:10,1.8s,0f9a266e24bd46c38a6b33d308e8f4b1,zero_shot_threshold,NOTEBOOK,/Repos/vpeng@rockfound.org/who/zero_shot_scores,vpeng@rockfound.org,FINISHED,,,0.19797719521762755,0.3578199052132701,0.5700243787354513,0.26916221033868093,
2023-11-14 11:03:52,32.9s,19323968a9fc49a3b0993cebd0be1de0,zero_shot_threshold,NOTEBOOK,/Repos/vpeng@rockfound.org/who/zero_shot_scores,vpeng@rockfound.org,FINISHED,zero_shot_parent,,0,0,0,1,
2023-11-14 11:00:57,2.9min,e54383b8415f4be6a38d11c0d19a2a90,zero_shot_threshold,NOTEBOOK,/Repos/vpeng@rockfound.org/who/zero_shot_scores,vpeng@rockfound.org,FINISHED,,,,,,,
2023-11-14 11:00:09,45.0s,fd5fc250b2aa4381bbe3c1ffd5216799,zero_shot_threshold,NOTEBOOK,/Repos/vpeng@rockfound.org/who/zero_shot_scores,vpeng@rockfound.org,FINISHED,,,,,,,
2023-11-14 10:59:47,1.8s,481c8840098c4fada9d2769c06479745,zero_shot_threshold,NOTEBOOK,/Repos/vpeng@rockfound.org/who/zero_shot_scores,vpeng@rockfound.org,FINISHED,zero_shot_child,,0.19797719521762755,0.3578199052132701,0.5700243787354513,0.26916221033868093,
2023-11-14 10:55:56,1.6s,b44d1431fcc34d0da0d6462e845be66e,zero_shot_threshold,NOTEBOOK,/Repos/vpeng@rockfound.org/who/zero_shot_scores,vpeng@rockfound.org,FINISHED,zero_shot_child,,0.19797719521762755,0.3578199052132701,0.5700243787354513,0.26916221033868093,
2023-11-14 10:55:22,2.0s,66b147c46ab94e67a84ad4b8b9cb2b8e,zero_shot_threshold,NOTEBOOK,/Repos/vpeng@rockfound.org/who/zero_shot_scores,vpeng@rockfound.org,FINISHED,zero_shot_child,,0.19797719521762755,0.3578199052132701,0.5700243787354513,0.26916221033868093,0.95
