Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,experiment_type,alternative cures religious practices,alternative treatment and prevention,alternative treatment and prevention-true,bioweapon conspiracy corruption media-bias medical-exploitation,conspiracy and corruption,conspiracy and corruption-true,conspiracy-corruption,conspiracy-corruption-true,illness and stigma,illness and stigma-true,illness-cause,illness-cause-true,illness-stigma,illness-stigma-true,intervention and capacity,intervention and capacity-true,intervention-capacity,intervention-capacity-true,macro_f1,micro_f1,precision,prevention collective prevention individual treatment vaccine efficacy vaccine side effects,prevention-treatment-alternative,prevention-treatment-alternative-true,prevention-treatment-approved,prevention-treatment-approved-true,public health capacity,recall,stigmatization case-reporting symptoms-severity variants,treatment,treatment and medicine,treatment and medicine-true,treatment-medicine,treatment-medicine-true,treatment-true,vaccines,vaccines-true
2023-11-30 12:54:26,8.2min,83680cbd06654861b6bbe099da27715e,simplified_taxonomy_run,NOTEBOOK,/Repos/vpeng@rockfound.org/who/taxonomy_experiment,vpeng@rockfound.org,FINISHED,simplified_vax_and,,0.15486725663716813,0.1024390243902439,,0.40555555555555556,0.2943089430894309,,,0.2185792349726776,0.17073170731707318,,,,,0.08602150537634409,0.04390243902439024,,,0.43644853434652653,0.4421652421652422,0.5320660763494375,,,,,,,0.7185185185185186,,,0.26548672566371684,0.0991869918699187,,,,0.7192118226600985,0.2894308943089431
2023-11-30 12:31:31,8.5min,8e3f0b8893da4c178ed311bbe972b4f7,simplified_taxonomy_run,NOTEBOOK,/Repos/vpeng@rockfound.org/who/taxonomy_experiment,vpeng@rockfound.org,FINISHED,simplified,,0.15486725663716813,0.1024390243902439,,0.40555555555555556,0.2943089430894309,,,0.2185792349726776,0.17073170731707318,,,,,0.08602150537634409,0.04390243902439024,,,0.43644853434652653,0.4421652421652422,0.5320660763494375,,,,,,,0.7185185185185186,,,0.26548672566371684,0.0991869918699187,,,,0.7192118226600985,0.2894308943089431
2023-11-30 12:20:22,8.4min,a1907f79128547dfa4623fcf56274f03,simplified_taxonomy_run,NOTEBOOK,/Repos/vpeng@rockfound.org/who/taxonomy_experiment,vpeng@rockfound.org,FINISHED,simplified,,0,,,0,,,0.639344262295082,0,,,0.12704918032786885,,,0,,,0.11065573770491803,0,0,0,,,,,0.12295081967213115,,0,,,0,,,,,0,
2023-11-29 15:40:08,7.1min,a474bfe04d764dacbb8584d0f3b4d28e,simplified_taxonomy_run,NOTEBOOK,/Repos/vpeng@rockfound.org/who/taxonomy_experiment,vpeng@rockfound.org,FINISHED,simplified,,,,,,,0.2822085889570552,0.2943089430894309,,,0.2490566037735849,0.17073170731707318,,,,,0.0851063829787234,0.04390243902439024,0.32365469923924806,0.3165075034106412,0.5304168490758585,,0.15467625899280577,0.1024390243902439,0.21544715447154472,0.3886178861788618,,0.43609022556390975,,,,,,,,,
2023-11-29 15:30:41,8.4min,3c357c46633f4d059c5e0bcd8f6f2702,simplified_taxonomy_run,NOTEBOOK,/Repos/vpeng@rockfound.org/who/taxonomy_experiment,vpeng@rockfound.org,FINISHED,simplified,,,,,,,0,0.2943089430894309,,,0,0.17073170731707318,,,,,0,0.04390243902439024,0,0,0,,0,0.1024390243902439,0,0.3886178861788618,,0,,,,,,,,,
2023-11-29 15:04:21,8.1min,a227ddd7b9094556af69934eaf80c69d,simplified_taxonomy_run,NOTEBOOK,/Repos/vpeng@rockfound.org/who/taxonomy_experiment,vpeng@rockfound.org,FINISHED,simplified_vax_and,,0.16279069767441862,0.10398613518197573,,0.4451219512195122,0.28596187175043325,,,0.20809248554913296,0.1611785095320624,,,,,0.08759124087591241,0.04679376083188908,,,0.4435761049923259,0.44589774078477995,0.5310213257547058,,,,,,,0.7470119521912351,,,0.2702702702702703,0.10398613518197573,,,,0.7157360406091371,0.29809358752166376
2023-11-29 14:47:59,16.3min,920dc90f32c944a8b86888960fe2b378,simplified_taxonomy_run,NOTEBOOK,/Repos/vpeng@rockfound.org/who/taxonomy_experiment,vpeng@rockfound.org,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29 14:45:03,0.9s,8b253c35da1c4b659db039dd81a88903,simplified_taxonomy_run,NOTEBOOK,/Repos/vpeng@rockfound.org/who/taxonomy_experiment,vpeng@rockfound.org,FINISHED,simplified_vax_and,,0.6666666666666666,0.10338680926916222,,0.5391705069124424,0.2905525846702317,,,0.3855421686746988,0.15508021390374332,,,,,0.6296296296296297,0.044563279857397504,,,0.7170116727458565,0.7151310228233304,0.6887410431486515,,,,,,,0.8668032786885246,,,0.4117647058823529,0.10338680926916222,,,,0.8,0.30303030303030304
2023-11-29 14:39:56,0.8s,2a2aa8564958497eb4e10e44168c2477,simplified_taxonomy_run,NOTEBOOK,/Repos/vpeng@rockfound.org/who/taxonomy_experiment,vpeng@rockfound.org,FINISHED,simplified_vax_clean,,,,,,,0.5391705069124424,0.2905525846702317,,,,,0.3855421686746988,0.15508021390374332,,,0.6296296296296297,0.044563279857397504,0.7170116727458565,0.7151310228233304,0.6887410431486515,,0.6666666666666666,0.10338680926916222,,,,0.8668032786885246,,,,,0.4117647058823529,0.10338680926916222,,0.8,0.30303030303030304
2023-11-29 13:56:07,1.0s,ba445eefb49c4159b47e3b79deff5973,simplified_taxonomy_run,NOTEBOOK,/Repos/vpeng@rockfound.org/who/taxonomy_experiment,vpeng@rockfound.org,FINISHED,simplified_vax_new,,,,,,,0.5391705069124424,0.2905525846702317,,,,,0.3855421686746988,0.15508021390374332,,,0.6296296296296297,0.044563279857397504,0.7170116727458565,0.7151310228233304,0.6887410431486515,,0.6666666666666666,0.10338680926916222,,,,0.8668032786885246,,,,,0.4117647058823529,0.10338680926916222,,0.8,0.30303030303030304
2023-11-29 13:32:28,1.0s,4a09b35e724346c49d4c61e0ea30a51b,simplified_taxonomy_run,NOTEBOOK,/Repos/vpeng@rockfound.org/who/taxonomy_experiment,vpeng@rockfound.org,FINISHED,simplified_vax_new,,,,,,,0.5391705069124424,0.2905525846702317,,,0.3855421686746988,0.15508021390374332,,,,,0.6296296296296297,0.044563279857397504,0.7170116727458565,0.7151310228233304,0.6887410431486515,,0.6666666666666666,0.10338680926916222,,,,0.8668032786885246,,,,,0.4117647058823529,0.10338680926916222,,0.8,0.30303030303030304
2023-11-29 12:23:48,0.7s,50a513f5cfca43b5ba792c562999df5e,simplified_taxonomy_run,NOTEBOOK,/Repos/vpeng@rockfound.org/who/taxonomy_experiment,vpeng@rockfound.org,FINISHED,simplified_vax_new,,,,,,,0.5391705069124424,0.2905525846702317,,,0.3855421686746988,0.15508021390374332,,,,,0.39215686274509803,0.09803921568627451,0.6989333730700773,0.7115222876366696,0.6722721453637149,,0.6666666666666666,0.10338680926916222,,,,0.8685831622176592,,,,,0.52,0.049910873440285206,,0.8,0.30303030303030304
